Week_Start_Date,Party,Spend_USD
2018-05-27,Democratic,1000
2018-05-27,Other,7700
2018-05-27,Republican,12900
2018-06-03,Democratic,2500
2018-06-03,Other,17000
2018-06-03,Republican,43000
2018-06-10,Democratic,2600
2018-06-10,Other,21500
2018-06-10,Republican,56800
2018-06-17,Republican,54100
2018-06-17,Democratic,2800
2018-06-17,Other,24400
2018-06-24,Democratic,2700
2018-06-24,Other,18800
2018-06-24,Republican,49600
2018-07-01,Republican,43900
2018-07-01,Democratic,2400
2018-07-01,Other,19500
2018-07-08,Republican,35100
2018-07-08,Democratic,2400
2018-07-08,Other,15100
2018-07-15,Democratic,1600
2018-07-15,Other,16000
2018-07-15,Republican,80500
2018-07-22,Democratic,1500
2018-07-22,Other,22500
2018-07-22,Republican,63600
2018-07-29,Other,24200
2018-07-29,Democratic,1500
2018-07-29,Republican,51900
2018-08-05,Democratic,1600
2018-08-05,Other,25000
2018-08-05,Republican,129000
2018-08-12,Other,22000
2018-08-12,Republican,69000
2018-08-12,Democratic,1700
2018-08-19,Republican,65800
2018-08-19,Democratic,2100
2018-08-19,Other,45400
2018-08-26,Democratic,2900
2018-08-26,Other,33900
2018-08-26,Republican,89000
2018-09-02,Democratic,3100
2018-09-02,Other,37500
2018-09-02,Republican,105500
2018-09-09,Republican,90900
2018-09-09,Other,45200
2018-09-09,Democratic,3100
2018-09-16,Democratic,3900
2018-09-16,Other,47500
2018-09-16,Republican,55800
2018-09-23,Democratic,4700
2018-09-23,Other,62400
2018-09-23,Republican,76000
2018-09-30,Republican,110700
2018-09-30,Other,72600
2018-09-30,Democratic,4500
2018-10-07,Democratic,5500
2018-10-07,Other,102900
2018-10-07,Republican,145700
2018-10-14,Democratic,6800
2018-10-14,Other,126700
2018-10-14,Republican,80600
2018-10-21,Democratic,9000
2018-10-21,Other,140500
2018-10-21,Republican,65100
2018-10-28,Republican,53100
2018-10-28,Democratic,12100
2018-10-28,Other,140000
2018-11-04,Other,137600
2018-11-04,Republican,88400
2018-11-04,Democratic,17100
2018-11-11,Republican,91500
2018-11-11,Democratic,13800
2018-11-11,Other,120600
2018-11-18,Democratic,9000
2018-11-18,Other,236500
2018-11-18,Republican,169900
2018-11-25,Democratic,9600
2018-11-25,Other,224200
2018-11-25,Republican,156500
2018-12-02,Republican,97000
2018-12-02,Other,148700
2018-12-02,Democratic,2400
2018-12-09,Democratic,3600
2018-12-09,Other,219200
2018-12-09,Republican,114200
2018-12-16,Democratic,22500
2018-12-16,Other,212300
2018-12-16,Republican,132600
2018-12-23,Republican,104800
2018-12-23,Other,197500
2018-12-23,Democratic,19000
2018-12-30,Democratic,3400
2018-12-30,Other,267300
2018-12-30,Republican,257900
2019-01-06,Democratic,34300
2019-01-06,Other,271600
2019-01-06,Republican,939300
2019-01-13,Republican,403100
2019-01-13,Other,324100
2019-01-13,Democratic,31000
2019-01-20,Democratic,103100
2019-01-20,Other,339900
2019-01-20,Republican,188300
2019-01-27,Democratic,68400
2019-01-27,Other,329300
2019-01-27,Republican,287300
2019-02-03,Republican,220500
2019-02-03,Other,300000
2019-02-03,Democratic,31300
2019-02-10,Democratic,25700
2019-02-10,Other,268000
2019-02-10,Republican,176500
2019-02-17,Democratic,25700
2019-02-17,Other,482800
2019-02-17,Republican,143100
2019-02-24,Democratic,19900
2019-02-24,Other,566600
2019-02-24,Republican,197500
2019-03-03,Democratic,14700
2019-03-03,Other,334900
2019-03-03,Republican,258700
2019-03-10,Republican,287900
2019-03-10,Other,616800
2019-03-10,Democratic,19400
2019-03-17,Democratic,36000
2019-03-17,Other,598300
2019-03-17,Republican,209300
2019-03-24,Democratic,34500
2019-03-24,Other,445600
2019-03-24,Republican,273600
2019-03-31,Democratic,27700
2019-03-31,Other,527100
2019-03-31,Republican,175500
2019-04-07,Democratic,28000
2019-04-07,Other,494400
2019-04-07,Republican,101900
2019-04-14,Other,701400
2019-04-14,Republican,118900
2019-04-14,Democratic,47100
2019-04-21,Other,496400
2019-04-21,Republican,179600
2019-04-21,Democratic,426900
2019-04-28,Republican,164800
2019-04-28,Democratic,194400
2019-04-28,Other,507300
2019-05-05,Democratic,84500
2019-05-05,Other,505200
2019-05-05,Republican,131600
2019-05-12,Democratic,59000
2019-05-12,Other,536400
2019-05-12,Republican,183400
2019-05-19,Republican,173900
2019-05-19,Other,500400
2019-05-19,Democratic,42000
2019-05-26,Democratic,44700
2019-05-26,Other,488300
2019-05-26,Republican,261000
2019-06-02,Democratic,41000
2019-06-02,Other,676700
2019-06-02,Republican,265900
2019-06-09,Republican,310500
2019-06-09,Other,743600
2019-06-09,Democratic,37300
2019-06-16,Democratic,48400
2019-06-16,Other,935400
2019-06-16,Republican,317600
2019-06-23,Democratic,381300
2019-06-23,Other,1502800
2019-06-23,Republican,622100
2019-06-30,Republican,283800
2019-06-30,Other,640900
2019-06-30,Democratic,170000
2019-07-07,Democratic,87600
2019-07-07,Other,1035200
2019-07-07,Republican,256800
2019-07-14,Democratic,97400
2019-07-14,Other,1066800
2019-07-14,Republican,282200
2019-07-21,Republican,244100
2019-07-21,Other,969900
2019-07-21,Democratic,68100
2019-07-28,Democratic,215800
2019-07-28,Other,1826100
2019-07-28,Republican,279100
2019-08-04,Democratic,102400
2019-08-04,Other,1512300
2019-08-04,Republican,383400
2019-08-11,Republican,319700
2019-08-11,Other,1297400
2019-08-11,Democratic,76900
2019-08-18,Democratic,66000
2019-08-18,Other,1455200
2019-08-18,Republican,323900
2019-08-25,Democratic,56200
2019-08-25,Other,1208900
