Period_Ending,User Data Requests,Accounts,Percentage_Disclosed
2009-12-31,3580.0,0.0,0.0
2010-06-30,4287.0,0.0,0.0
2010-12-31,4601.0,0.0,94.0
2011-06-30,5950.0,11057.0,93.0
2011-12-31,6321.0,12243.0,93.0
2012-06-30,7969.0,16281.0,90.0
2012-12-31,8438.0,14791.0,88.66666666666667
2013-06-30,10918.0,21683.0,84.0
2013-12-31,10574.0,18254.0,84.66666666666667
2014-06-30,12539.0,21576.0,83.66666666666667
2014-12-31,14271.0,38014.0,81.5
2015-06-30,17054.0,43328.0,82.33333333333333
2015-12-31,17662.0,39222.0,83.16666666666667
2016-06-30,19987.0,43596.0,83.83333333333333
2016-12-31,19399.0,39528.0,83.5
2017-06-30,23721.0,48884.0,86.83333333333333
2017-12-31,23021.0,50922.0,83.4
2018-06-30,29633.0,84171.0,85.83333333333333
2018-12-31,32323.0,87233.0,73.14285714285714
2019-06-30,42629.0,103125.0,80.8
2019-12-31,42282.0,94931.0,67.83333333333333
2020-06-30,55124.0,125770.0,65.28571428571429
2020-12-31,54556.0,126699.0,84.33333333333333
2021-06-30,69036.0,176367.0,77.16666666666667
2021-12-31,62857.0,157622.0,80.8
2022-06-30,72718.0,145320.0,82.8
2022-12-31,71389.0,141233.0,82.2
2023-06-30,81271.0,152267.0,83.2
2023-12-31,80177.0,146754.0,82.8
2024-06-30,82496.0,163645.0,87.33333333333333
2024-12-31,76460.0,154682.0,85.16666666666667
